"U:0","U:1","U:2","Points:0","Points:1","Points:2"
37.1081,-0.00820305,0.151071,0.202302,0.078,0.09
37.0948,-0.0259817,0.153746,0.202303,0.0802028,0.09
37.1068,0.0089865,0.147774,0.204515,0.078,0.09
37.1092,0.00044872,0.149065,0.204515,0.0802044,0.09
37.0916,-0.0045012,0.15249,0.206727,0.078,0.09
37.1041,-0.00619406,0.152297,0.206727,0.080206,0.09
37.0978,-0.0200434,0.159747,0.208939,0.078,0.09
37.0987,-0.0302183,0.160632,0.208939,0.0802075,0.09
37.1239,-0.0109542,0.159701,0.211151,0.078,0.09
37.1162,-0.0270488,0.16193,0.211151,0.0802091,0.09
37.1349,-0.000944765,0.157785,0.213363,0.078,0.09
37.1345,-0.0121831,0.159497,0.213364,0.0802107,0.09
37.1285,-0.00599936,0.159206,0.215576,0.078,0.09
37.134,-0.013451,0.16016,0.215576,0.0802122,0.09
37.136,-0.0117098,0.161385,0.217788,0.078,0.09
37.139,-0.0208336,0.162643,0.217788,0.0802138,0.09
37.1491,-0.0119091,0.161205,0.22,0.078,0.09
37.15,-0.0222888,0.162786,0.22,0.0802154,0.09
36.7037,-0.0038719,0.00811664,-0.00179292,0.0824277,0.09
36.7,0,0,-0.004,0.0824308,0.09
36.706,-0.00642099,0.0131783,0.000414364,0.0824246,0.09
36.7075,-0.0155664,0.0204721,0.0026222,0.0824204,0.09
36.7104,-0.0157724,0.0276433,0.00484274,0.0824168,0.09
36.7198,-0.0197297,0.0338529,0.00706656,0.0824181,0.09
36.7296,-0.0255664,0.0409076,0.00928791,0.0824167,0.09
36.736,-0.0326873,0.0467118,0.0115089,0.0824125,0.09
36.7425,-0.0370321,0.0545137,0.0137281,0.082411,0.09
36.7615,-0.0343589,0.0607433,0.0159476,0.0824094,0.09
36.7786,-0.0469822,0.067521,0.0181687,0.0824074,0.09
36.7897,-0.0577178,0.0752993,0.0203876,0.0824066,0.09
36.8022,-0.051218,0.0805815,0.0226054,0.0824062,0.09
36.8321,-0.0519078,0.089284,0.0248231,0.0824059,0.09
36.8597,-0.0698005,0.0952797,0.0270408,0.0824056,0.09
36.8694,-0.0795396,0.101989,0.0292586,0.0824052,0.09
36.8925,-0.0636454,0.105841,0.0314763,0.0824049,0.09
36.9278,-0.0671668,0.113604,0.033694,0.0824046,0.09
36.9626,-0.0930753,0.122582,0.0359117,0.0824043,0.09
36.9836,-0.0959331,0.122371,0.0381294,0.0824041,0.09
37.0002,-0.0737216,0.126137,0.0403472,0.0824038,0.09
37.0464,-0.0780337,0.136057,0.0425649,0.0824036,0.09
37.0916,-0.113117,0.141994,0.0447827,0.0824034,0.09
37.1126,-0.105564,0.140124,0.0470004,0.0824032,0.09
37.1303,-0.0756968,0.140532,0.0492182,0.0824031,0.09
37.177,-0.0874455,0.153677,0.051436,0.082403,0.09
37.2303,-0.116601,0.157699,0.0536538,0.0824029,0.09
37.2527,-0.104791,0.150803,0.0558718,0.0824028,0.09
37.2657,-0.0742771,0.1516,0.0580916,0.0824021,0.09
37.3039,-0.0856764,0.163773,0.0603169,0.0824011,0.09
37.3584,-0.101593,0.165588,0.0625368,0.0824012,0.09
37.3843,-0.0894145,0.155662,0.0647549,0.0824013,0.09
37.3819,-0.072615,0.156208,0.0669727,0.0824014,0.09
37.412,-0.0708643,0.165813,0.0691905,0.0824015,0.09
37.4596,-0.0704815,0.161782,0.0714083,0.0824016,0.09
37.4737,-0.06699,0.156176,0.0736261,0.0824018,0.09
37.4749,-0.0679749,0.156908,0.0758439,0.082402,0.09
37.4865,-0.0518088,0.158399,0.0780617,0.0824022,0.09
37.5135,-0.0293151,0.153685,0.0802795,0.0824025,0.09
37.5237,-0.0439856,0.15349,0.0824973,0.0824028,0.09
37.5265,-0.0601207,0.154822,0.0847151,0.0824031,0.09
37.5266,-0.033103,0.147669,0.0869329,0.0824034,0.09
37.5291,0.00069995,0.141932,0.0891507,0.0824037,0.09
37.5295,-0.0165416,0.146019,0.0913685,0.082404,0.09
37.5392,-0.0415498,0.145625,0.0935863,0.0824044,0.09
37.5272,-0.0164196,0.134483,0.0958041,0.0824047,0.09
37.5054,0.0118015,0.130433,0.098022,0.0824051,0.09
37.503,0.00665378,0.133617,0.10024,0.0824055,0.09
37.5128,-0.00903184,0.131526,0.102459,0.0824061,0.09
37.4903,-0.00443143,0.12249,0.10468,0.0824069,0.09
37.4599,0.0078185,0.123023,0.106899,0.0824078,0.09
37.4544,0.0194742,0.121378,0.109117,0.0824082,0.09
37.4537,0.0235018,0.117412,0.111335,0.0824086,0.09
37.4352,0.00661472,0.115082,0.113553,0.082409,0.09
37.401,-0.00339236,0.11747,0.11577,0.0824093,0.09
37.3879,0.0256245,0.112829,0.117988,0.0824097,0.09
37.3861,0.0440742,0.10671,0.120206,0.08241,0.09
37.3632,0.0154643,0.110511,0.122423,0.0824103,0.09
37.3334,-0.011777,0.116279,0.124641,0.0824107,0.09
37.3257,0.018537,0.107956,0.126859,0.082411,0.09
37.3107,0.0523418,0.102625,0.129077,0.0824114,0.09
37.293,0.01866,0.109964,0.131295,0.0824118,0.09
37.277,-0.0188554,0.115627,0.133514,0.0824128,0.09
37.2619,0.00787757,0.109606,0.135733,0.0824138,0.09
37.2495,0.0460218,0.101999,0.137954,0.0824165,0.09
37.2384,0.0220185,0.109457,0.140173,0.0824178,0.09
37.2248,-0.0194173,0.117165,0.142391,0.0824191,0.09
37.2123,-0.0028546,0.109262,0.144611,0.0824184,0.09
37.2002,0.0327451,0.104751,0.146832,0.0824156,0.09
37.1941,0.0219893,0.109861,0.149055,0.082412,0.09
37.184,-0.0103631,0.112582,0.151278,0.0824084,0.09
37.1706,-0.00943469,0.11058,0.153501,0.082405,0.09
37.1588,0.0149999,0.107547,0.155725,0.0824033,0.09
37.1543,0.0199123,0.108991,0.157948,0.0824008,0.09
37.1518,0.00155857,0.109554,0.160172,0.0824001,0.09
37.1352,-0.0123281,0.110081,0.162398,0.0824054,0.09
37.1144,-0.00266081,0.113136,0.164622,0.0824071,0.09
37.1226,0.0129561,0.11098,0.166846,0.082409,0.09
37.1257,0.00731618,0.108308,0.169068,0.0824086,0.09
37.1006,-0.0107751,0.114382,0.17129,0.0824079,0.09
37.0835,-0.0178082,0.119663,0.173512,0.0824068,0.09
37.0978,-0.00650992,0.118684,0.175734,0.0824058,0.09
37.1045,0.00643461,0.114496,0.177955,0.0824048,0.09
37.0843,-0.00678678,0.120022,0.180176,0.0824039,0.09
37.0683,-0.0319475,0.130709,0.182392,0.0824043,0.09
